"expID","protein","label","stim_descrip_short","rate_mM_min","conc_at_time_mM_approx"
"DS085","pCD79a (Y182)",4,"20 min to 5 mM",0.25,1.60201139879887
"DS085","pCD79a (Y182)",5,"60 min to 5 mM",0.0833333333333333,1.14367321690087
"DS085","pSYK (Y525/Y526)",4,"20 min to 5 mM",0.25,2.69452910605997
"DS085","pSYK (Y525/Y526)",5,"60 min to 5 mM",0.0833333333333333,2.06459263876059
"DS085","pPLCy2 (Y759)",4,"20 min to 5 mM",0.25,2.31526042235718
"DS085","pPLCy2 (Y759)",5,"60 min to 5 mM",0.0833333333333333,1.73910078537678
"DS096","pCD79a (Y182)",6,"20 min to 10 mM",0.5,3.10419809816252
"DS096","pCD79a (Y182)",7,"60 min to 10 mM",0.166666666666667,2.37729326628584
"DS096","pSYK (Y525/Y526)",6,"20 min to 10 mM",0.5,5.42208748296298
"DS096","pSYK (Y525/Y526)",7,"60 min to 10 mM",0.166666666666667,3.43346340320463
"DS096","pPLCy2 (Y759)",6,"20 min to 10 mM",0.5,4.32221150411847
"DS096","pPLCy2 (Y759)",7,"60 min to 10 mM",0.166666666666667,3.11070470901941
"DS097","pCD79a (Y182)",1,"20 min to 5 mM",0.25,4.66339052628253
"DS097","pCD79a (Y182)",2,"60 min to 5 mM",0.0833333333333333,4.11813714353252
"DS097","pSYK (Y525/Y526)",1,"20 min to 5 mM",0.25,4.97034884839239
"DS097","pSYK (Y525/Y526)",2,"60 min to 5 mM",0.0833333333333333,4.17452274456535
"DS097","pPLCy2 (Y759)",2,"60 min to 5 mM",0.0833333333333333,4.3739733234784
